Wavelength (nm)	L03 abs e
577.50	66800
577.75	67191
578.00	67249
578.25	67564
578.50	67855
578.75	68263
579.00	68539
579.25	68548
579.50	68908
579.75	69252
580.00	69607
580.25	69684
580.50	69957
580.75	70066
581.00	70438
581.25	70819
581.50	70776
581.75	71190
582.00	71431
582.25	71646
582.50	71912
582.75	72284
583.00	72443
583.25	72705
583.50	72636
583.75	72814
584.00	73141
584.25	73265
584.50	73647
584.75	73584
585.00	73721
585.25	73958
585.50	74163
585.75	74369
586.00	74555
586.25	74432
586.50	74987
586.75	74972
587.00	75041
587.25	74842
587.50	75182
587.75	75216
588.00	75350
588.25	75392
588.50	75533
588.75	75398
589.00	75468
589.25	75499
589.50	75673
589.75	75764
590.00	75637
590.25	75581
590.50	75800
590.75	75540
591.00	75662
591.25	75458
591.50	75549
591.75	75294
592.00	75406
592.25	75459
592.50	75149
592.75	75181
593.00	74888
593.25	74600
593.50	74627
593.75	74440
594.00	74511
594.25	74100
594.50	74193
594.75	73818
595.00	73586
595.25	72955
595.50	72917
595.75	72619
596.00	72248
596.25	72115
596.50	71812
596.75	71671
597.00	71238
597.25	70842
597.50	70360
597.75	70385
598.00	69972
598.25	69529
598.50	69046
598.75	68703
599.00	68522
599.25	68143
599.50	67400
599.75	67231
600.00	66714
600.25	66643
600.50	66008
600.75	65634
601.00	65102
601.25	64546
601.50	64351
601.75	63907
602.00	63285
602.25	62839
602.50	62470
602.75	61964
603.00	61445
603.25	61110
603.50	60433
603.75	59861
604.00	59448
604.25	58920
604.50	58462
604.75	58010
605.00	57544
605.25	56802
605.50	56276
605.75	55712
606.00	54976
606.25	54683
606.50	54145
606.75	53740
607.00	52786
607.25	52419
607.50	51940
607.75	51307
608.00	50741
608.25	50201
608.50	49653
608.75	49148
609.00	48547
609.25	47740
609.50	47312
609.75	46766
610.00	46197
610.25	45655
610.50	44891
610.75	44276
611.00	43943
611.25	43236
611.50	42657
611.75	42160
612.00	41635
612.25	41115
612.50	40710
