Wavelength (nm)	L02 abs e
447.50	7581.8
447.75	7461.2
448.00	7476.8
448.25	7356.1
448.50	7136.7
448.75	7083.7
449.00	6748.9
449.25	6770.7
449.50	6594.9
449.75	6364.1
450.00	6514.9
450.25	6388.0
450.50	6269.5
450.75	6023.0
451.00	5968.9
451.25	5882.6
451.50	5859.7
451.75	5781.8
452.00	5743.3
452.25	5582.1
452.50	5606.0
452.75	5389.7
453.00	5277.4
453.25	5112.1
453.50	5036.2
453.75	4960.3
454.00	4925.9
454.25	4884.3
454.50	4962.3
454.75	4866.7
455.00	4826.1
455.25	4806.3
455.50	4653.5
455.75	4573.4
456.00	4419.5
456.25	4259.4
456.50	4209.5
456.75	4187.6
457.00	4077.4
457.25	4136.7
457.50	4029.6
457.75	3788.3
458.00	3851.7
458.25	3834.1
458.50	3792.5
458.75	3437.9
459.00	3585.5
459.25	3555.4
459.50	3412.9
459.75	3529.4
460.00	3373.4
460.25	3275.6
460.50	3343.2
460.75	3212.2
461.00	3436.8
461.25	2935.6
461.50	3204.9
461.75	3159.2
462.00	3005.3
462.25	3119.7
462.50	3064.5
462.75	3004.2
463.00	3013.6
463.25	2921.0
463.50	2974.1
463.75	2704.7
464.00	2947.0
464.25	2790.0
464.50	2833.7
464.75	2629.9
465.00	2602.8
465.25	2713.1
465.50	2559.2
465.75	2650.7
466.00	2730.7
466.25	2656.9
466.50	2608.0
466.75	2539.4
467.00	2443.7
467.25	2544.6
467.50	2470.8
467.75	2445.8
468.00	2587.2
468.25	2444.8
468.50	2664.2
468.75	2558.1
469.00	2554.0
469.25	2416.7
469.50	2394.9
469.75	2461.4
470.00	2534.2
470.25	2324.1
470.50	2573.7
470.75	2342.9
471.00	2440.6
471.25	2344.9
471.50	2328.3
471.75	2237.8
472.00	2283.6
472.25	2524.8
472.50	2318.9
472.75	2348.1
473.00	2183.8
473.25	2244.1
473.50	2226.4
473.75	1977.9
474.00	2227.4
474.25	2439.6
474.50	2224.3
474.75	2440.6
475.00	2326.2
475.25	2169.2
475.50	2332.5
475.75	2153.6
476.00	2257.6
476.25	2278.4
476.50	2540.4
476.75	2320.0
477.00	2673.5
477.25	2498.8
477.50	2278.4
477.75	2301.3
478.00	2409.4
478.25	2296.1
478.50	2255.5
478.75	2476.0
479.00	2595.6
479.25	2480.1
479.50	2462.4
479.75	2299.2
480.00	2473.9
480.25	2326.2
480.50	2490.5
480.75	2611.2
481.00	2560.2
481.25	2594.5
481.50	2792.1
481.75	2493.6
482.00	2580.0
482.25	2505.1
482.50	2522.8
482.75	2464.5
483.00	2540.4
483.25	2506.1
483.50	2622.6
483.75	2701.6
484.00	2723.5
484.25	2641.3
484.50	2757.8
484.75	2562.3
485.00	2711.0
485.25	2641.3
485.50	2611.2
485.75	2571.6
486.00	2580.0
486.25	2541.5
486.50	2706.8
486.75	2847.2
487.00	2753.6
487.25	2864.9
487.50	2764.0
487.75	2686.0
488.00	2727.6
488.25	2724.5
488.50	2730.7
488.75	2724.5
489.00	2800.4
489.25	2922.1
489.50	2888.8
489.75	2633.0
490.00	2766.1
490.25	2726.6
490.50	2812.9
490.75	3015.7
491.00	3001.1
491.25	2991.7
491.50	2931.4
491.75	2855.5
492.00	2961.6
492.25	2804.6
492.50	3021.9
492.75	3077.0
493.00	3004.2
493.25	3178.9
493.50	3323.5
493.75	3281.9
494.00	3088.5
494.25	3108.2
494.50	3195.6
494.75	3204.9
495.00	3185.2
495.25	3247.6
495.50	3370.3
495.75	3129.0
496.00	3463.9
496.25	3197.6
496.50	3137.3
496.75	3281.9
497.00	3296.4
497.25	3486.7
497.50	3477.4
497.75	3382.7
498.00	3581.4
498.25	3342.2
498.50	3519.0
498.75	3503.4
499.00	3741.5
499.25	3595.9
499.50	3500.3
499.75	3641.7
500.00	3621.9
500.25	3873.6
500.50	3707.2
500.75	3810.1
501.00	3809.1
501.25	3853.8
501.50	3781.0
501.75	3572.0
502.00	3929.7
502.25	3841.3
502.50	3936.0
502.75	4005.6
503.00	3930.8
503.25	4197.0
503.50	4050.4
