Wavelength (nm)	L01 abs e
375.25	10107
375.50	10102
375.75	10044
376.00	9955.9
376.25	9908.9
376.50	9811.3
376.75	9747.1
377.00	9677.9
377.25	9613.7
377.50	9628.0
377.75	9520.9
378.00	9488.3
378.25	9394.0
378.50	9393.7
378.75	9239.0
379.00	9242.3
379.25	9118.6
379.50	9103.9
379.75	9073.4
380.00	9025.9
380.25	8994.8
380.50	8995.0
380.75	8948.1
381.00	8841.9
381.25	8873.5
381.50	8855.4
381.75	8791.3
382.00	8713.2
382.25	8720.7
382.50	8764.9
382.75	8653.8
383.00	8650.5
383.25	8568.5
383.50	8627.9
383.75	8604.9
384.00	8552.2
384.25	8595.0
384.50	8628.7
384.75	8622.1
385.00	8563.0
385.25	8610.7
385.50	8634.5
385.75	8677.6
386.00	8652.6
386.25	8690.8
386.50	8704.0
386.75	8765.7
387.00	8787.3
387.25	8798.5
387.50	8810.2
387.75	8861.8
388.00	8880.4
388.25	8907.9
388.50	8963.9
388.75	9095.8
389.00	9083.6
389.25	9141.0
389.50	9212.1
389.75	9186.8
390.00	9274.0
390.25	9348.2
390.50	9416.6
390.75	9463.7
391.00	9558.3
391.25	9655.4
391.50	9688.9
391.75	9802.0
392.00	9793.7
392.25	9926.4
392.50	10000
392.75	10038
393.00	10107
393.25	10241
393.50	10328
393.75	10404
394.00	10518
394.25	10537
394.50	10648
394.75	10759
395.00	10831
395.25	10950
395.50	11043
395.75	11217
396.00	11352
396.25	11420
396.50	11552
396.75	11613
397.00	11743
397.25	11842
397.50	11901
397.75	12052
398.00	12169
398.25	12220
398.50	12383
398.75	12444
399.00	12564
399.25	12609
399.50	12739
399.75	12853
400.00	13001
400.25	13093
400.50	13195
400.75	13248
401.00	13391
401.25	13520
401.50	13674
401.75	13746
402.00	13833
402.25	13956
402.50	14059
402.75	14083
403.00	14373
403.25	14412
403.50	14582
403.75	14642
404.00	14837
404.25	14923
404.50	15056
404.75	15150
405.00	15312
405.25	15294
405.50	15576
405.75	15685
406.00	15771
406.25	15914
406.50	16057
406.75	16084
407.00	16278
407.25	16424
407.50	16427
407.75	16551
408.00	16760
408.25	16844
408.50	16985
408.75	17138
409.00	17332
409.25	17390
409.50	17487
409.75	17674
410.00	17831
410.25	17900
410.50	18029
410.75	18101
411.00	18259
411.25	18424
411.50	18492
411.75	18708
412.00	18759
412.25	18925
412.50	19043
412.75	19113
413.00	19248
413.25	19430
413.50	19510
413.75	19657
414.00	19686
414.25	19910
414.50	19874
414.75	20016
415.00	20190
415.25	20241
415.50	20502
415.75	20522
416.00	20695
416.25	20647
416.50	20857
416.75	21039
417.00	21052
417.25	21311
417.50	21412
417.75	21404
418.00	21689
418.25	21730
418.50	21780
418.75	21994
419.00	22053
419.25	22196
419.50	22203
419.75	22411
420.00	22493
420.25	22559
420.50	22588
420.75	22836
421.00	22905
421.25	22894
421.50	23082
421.75	23175
422.00	23368
422.25	23299
422.50	23386
422.75	23422
423.00	23613
423.25	23653
423.50	23775
423.75	23875
424.00	23937
424.25	24040
424.50	23981
424.75	24215
425.00	24230
425.25	24357
425.50	24388
425.75	24435
426.00	24625
426.25	24577
426.50	24554
426.75	24681
427.00	24635
427.25	24740
427.50	24733
427.75	24812
428.00	24804
428.25	24859
428.50	24924
428.75	25014
429.00	25030
429.25	25043
429.50	25098
429.75	25108
430.00	25104
430.25	25129
430.50	25203
430.75	25072
431.00	25213
431.25	25300
431.50	25145
431.75	25219
432.00	25185
432.25	25148
432.50	25181
432.75	25116
433.00	25119
433.25	25166
433.50	25179
433.75	25047
434.00	25064
434.25	25105
434.50	25120
434.75	25043
435.00	25018
435.25	24926
435.50	24771
435.75	24831
436.00	24779
436.25	24868
436.50	24712
436.75	24505
437.00	24644
437.25	24564
437.50	24370
437.75	24494
438.00	24378
438.25	24182
438.50	24105
438.75	24053
439.00	24020
439.25	23952
439.50	23994
439.75	23811
440.00	23815
440.25	23601
440.50	23613
440.75	23545
441.00	23339
441.25	23322
441.50	23115
441.75	23161
442.00	23006
442.25	22919
442.50	22864
442.75	22703
443.00	22658
443.25	22417
443.50	22267
443.75	22297
444.00	22164
444.25	22008
444.50	21871
444.75	21699
445.00	21563
445.25	21495
445.50	21442
445.75	21255
446.00	21034
446.25	20925
446.50	20856
446.75	20657
447.00	20548
447.25	20398
447.50	20209
447.75	20110
448.00	19908
448.25	19794
448.50	19648
448.75	19451
449.00	19334
449.25	19131
449.50	18927
449.75	18841
450.00	18697
450.25	18482
450.50	18350
450.75	18183
451.00	17983
451.25	17798
451.50	17651
451.75	17502
452.00	17335
452.25	17171
452.50	16939
452.75	16857
453.00	16632
453.25	16504
453.50	16282
453.75	16099
454.00	15950
454.25	15776
454.50	15703
454.75	15607
455.00	15407
455.25	15169
455.50	15078
455.75	14895
456.00	14690
456.25	14501
456.50	14296
456.75	14105
457.00	13974
457.25	13784
457.50	13621
457.75	13412
458.00	13244
458.25	13067
458.50	12909
458.75	12703
459.00	12485
459.25	12373
459.50	12161
459.75	12005
460.00	11799
460.25	11624
460.50	11478
460.75	11280
461.00	11163
461.25	10951
461.50	10790
461.75	10614
462.00	10465
462.25	10297
462.50	10117
462.75	9984.9
463.00	9799.8
463.25	9614.3
463.50	9471.8
463.75	9367.1
464.00	9161.4
464.25	9052.3
464.50	8880.5
464.75	8707.2
465.00	8585.8
465.25	8421.8
465.50	8303.1
465.75	8141.7
466.00	7996.5
466.25	7883.9
466.50	7740.1
466.75	7633.5
467.00	7466.0
467.25	7337.0
467.50	7182.7
467.75	7071.1
468.00	6940.0
468.25	6814.8
468.50	6685.5
468.75	6535.4
469.00	6473.2
469.25	6317.1
469.50	6190.0
469.75	6063.2
470.00	5966.9
470.25	5871.6
470.50	5704.6
470.75	5613.8
471.00	5492.9
471.25	5433.2
471.50	5284.1
471.75	5180.1
472.00	5105.3
472.25	4985.2
472.50	4861.9
472.75	4770.9
473.00	4674.6
473.25	4590.6
473.50	4462.8
473.75	4410.2
474.00	4329.8
474.25	4231.1
474.50	4139.7
474.75	4070.7
475.00	3928.7
475.25	3809.7
475.50	3730.1
475.75	3593.2
476.00	3526.3
476.25	3462.0
476.50	3412.5
476.75	3356.1
477.00	3233.2
477.25	3154.8
477.50	3090.8
477.75	3013.9
478.00	2947.2
478.25	2880.6
478.50	2829.1
478.75	2777.0
479.00	2720.2
479.25	2657.6
479.50	2585.4
479.75	2554.8
480.00	2518.5
480.25	2461.5
480.50	2351.0
